,Country Name,Year,Education Expenditure,Fertility rates,Health Expenditure,Labor Force Participation,Num of Elderly Beds,Population Growth,Tax Revenue,Teacher-Pupil Ratio,Working Age Population
53,Czechia,0.0,0.2645043772110656,0.14893617021276598,0.14695417948012537,0.3450355085086425,0.03804350770241988,0.5165138210278009,0.1751324462554544,0.3133348466165847,0.856756292688828
54,Czechia,0.125,0.2687925846661156,0.10638297872340424,0.15943691863962756,0.339005761758006,0.038265614758020684,0.4993737058250881,0.20506419095314757,0.31558645843077154,0.8088938702771399
55,Czechia,0.25,0.22405796630599153,0.11702127659574467,0.16374355591957693,0.3517352271204609,0.038723071024298755,0.48583768493179863,0.21912633645947832,0.3253310923732172,0.7510088421094115
56,Czechia,0.375,0.26782109831158246,0.12234042553191489,0.2095900847409274,0.3731743266782795,0.03968312726734286,0.4642123626852421,0.22437245013887952,0.33831668006914395,0.6938809174728024
57,Czechia,0.5,0.2702019332092508,0.15957446808510642,0.22220054747848098,0.3741792844700523,0.04027481083280515,0.47881908362726383,0.20194506796864545,0.35542212848582405,0.640865553528006
58,Czechia,0.625,0.2561323602998558,0.18085106382978727,0.21800372657102976,0.3778641297065523,0.04085806757230969,0.497315830915618,0.213645956064845,0.40132289287939776,0.5911953250185442
59,Czechia,0.75,0.201640662197403,0.21276595744680848,0.2352864350857566,0.3946134262360981,0.04209139374284096,0.4963961035998018,0.2185760401808056,0.39112982899670073,0.5432286643479541
60,Czechia,0.875,0.2500699799120742,0.24468085106382978,0.27630818062542384,0.40466300415382545,0.04258556689364924,0.5113039650012482,0.22176888701102299,0.406956571619142,0.4969227120843203
61,Czechia,1.0,0.33027537483095915,0.2553191489361702,0.30483293810042766,0.41605252579391666,0.042942503164574104,0.5252375437985777,0.2158436722878249,0.4225578169205127,0.45386478960030024
62,Germany,0.125,0.16090899654055868,0.08510638297872336,0.5101754802242664,0.4003081870561437,0.5257526810849659,0.08198936986891421,0.10045429386923653,0.47179621887200845,0.5504715824402685
63,Germany,0.375,0.18001371917069026,0.10106382978723402,0.56022370210755,0.40901782125150743,0.5422048549352008,0.5127741147393354,0.10493346165020687,0.4732224768771116,0.5551201899016365
64,Germany,0.625,0.17311056772034236,0.14361702127659576,0.6147314866098395,0.40298807450087093,0.5578889837910003,0.6328570925553837,0.10036285482006503,0.4696494215129356,0.5307954514262923
65,Germany,0.875,0.15792711180439076,0.18085106382978727,0.7049666532350499,0.4378266112823261,0.5719906751151616,0.5331979304857999,0.09831096802316555,0.47952512809239894,0.48924759880598656
66,Denmark,0.0,0.45723066072609175,0.3404255319148937,0.5079936244461853,0.5145383893876456,0.02713799108080664,0.5474734439588129,0.8321626085372839,0.2606850964834848,0.49857525548765813
67,Denmark,0.125,0.40902496584458053,0.2765957446808511,0.5157520407664145,0.4994640225110544,0.027176513713756373,0.5408982188734508,0.8327220856576686,0.27201397406745886,0.4749788082907076
